K,F,T,seed,reward_dot,cost_dot,net_dot,reward_linear,cost_linear,net_linear,reward_network,cost_network,net_network,structural_updates_network
4,2,400,0,-0.03403783148231466,0.0,-0.03403783148231466,-0.040540409599705285,4.0,-0.08054040959970528,-0.07290753669147496,2.065,-0.09355753669147497,26
4,2,400,1,0.2099721926820359,0.0,0.2099721926820359,0.22984345351773677,4.0,0.18984345351773677,0.2536039688612682,2.0325,0.2332789688612682,13
4,2,400,2,0.2690496210432487,0.0,0.2690496210432487,0.32809945817645514,4.0,0.2880994581764551,0.3749414522168126,2.04,0.3545414522168126,16
4,2,400,3,0.06873584100655844,0.0,0.06873584100655844,0.10093499080345891,4.0,0.06093499080345891,0.04035059797365667,2.11,0.019250597973656674,44
4,2,400,4,1.5504059022914212,0.0,1.5504059022914212,1.499657449522424,4.0,1.459657449522424,1.519696266691429,2.07,1.4989962666914292,28
4,2,400,5,0.7196408846162557,0.0,0.7196408846162557,0.8104702338910456,4.0,0.7704702338910455,0.8782725586393133,2.0725,0.8575475586393132,29
4,2,400,6,0.4998050261185077,0.0,0.4998050261185077,0.4996986156094331,4.0,0.45969861560943315,0.5457214099217158,2.0375,0.5253464099217158,15
4,2,400,7,0.4420171715497672,0.0,0.4420171715497672,0.46636087372394736,4.0,0.4263608737239473,0.5910344064221575,2.0375,0.5706594064221575,15
4,2,400,8,-0.3105000063898648,0.0,-0.3105000063898648,-0.2911789410193429,4.0,-0.3311789410193428,-0.30236855384453565,2.06,-0.32296855384453566,24
4,2,400,9,-0.0670276131625354,0.0,-0.0670276131625354,-0.07341287808875048,4.0,-0.11341287808875049,-0.05969896705736817,2.0475,-0.08017396705736816,19
4,4,400,0,0.5866557172746867,0.0,0.5866557172746867,0.6185929352017824,4.0,0.5785929352017825,0.6039383370737279,4.14,0.5625383370737278,28
4,4,400,1,0.02383609391387854,0.0,0.02383609391387854,0.027079725092813877,4.0,-0.012920274907186124,0.01779736388782987,4.12,-0.023402636112170132,24
4,4,400,2,0.6892948027189805,0.0,0.6892948027189805,0.6801644487372726,4.0,0.6401644487372725,0.715836419512397,4.13,0.6745364195123971,26
4,4,400,3,0.103813885442901,0.0,0.103813885442901,0.09165865676022983,4.0,0.051658656760229835,0.11385034960001128,4.12,0.07265034960001128,24
4,4,400,4,1.2577187345507896,0.0,1.2577187345507896,1.4024807916459576,4.0,1.3624807916459576,1.3730473095168043,4.23,1.3307473095168043,46
4,4,400,5,0.451428421118599,0.0,0.451428421118599,0.4785972102912077,4.0,0.4385972102912077,0.54311923611528,4.175,0.5013692361152801,35
4,4,400,6,1.8380177533216524,0.0,1.8380177533216524,2.052493021814069,4.0,2.012493021814069,2.0018274452321676,4.16,1.9602274452321677,32
4,4,400,7,1.0164639163440228,0.0,1.0164639163440228,1.0766619186996444,4.0,1.0366619186996444,1.2839062691554608,4.28,1.2411062691554609,56
4,4,400,8,0.8278971933141005,0.0,0.8278971933141005,0.8504978537739241,4.0,0.8104978537739241,0.8421130481690227,4.115,0.8009630481690228,23
4,4,400,9,1.177326538867024,0.0,1.177326538867024,1.1912478675078533,4.0,1.1512478675078532,1.2139957387937925,4.24,1.1715957387937928,48
4,8,400,0,0.9806587764320729,0.0,0.9806587764320729,1.0157043186827124,4.0,0.9757043186827125,1.035455114811934,8.23,0.9531551148119338,23
4,8,400,1,0.5523779087720847,0.0,0.5523779087720847,0.6031494995794577,4.0,0.5631494995794577,0.685240449485333,8.22,0.603040449485333,22
4,8,400,2,-0.38041034650630823,0.0,-0.38041034650630823,-0.39285200008170656,4.0,-0.43285200008170654,-0.3724501363011484,8.22,-0.45465013630114837,22
4,8,400,3,1.0309029567831778,0.0,1.0309029567831778,1.0651006331487556,4.0,1.0251006331487555,1.0848297844316401,8.65,0.9983297844316401,65
