moderator,n_levels,tau2_base,tau2_mod,pct_reduction,QM,QM_df,QM_p,aicc,perm_p
DLN stage,3,0.077211,0.022336,71.1,130.79,2,0.0,-11.27,0.0022
Gross process model,2,0.077211,0.083681,-8.4,3.2,1,0.0734,-4.59,0.6957
