model,k,tau2,I2,Q,parameter,estimate,se,ci_lo,ci_hi
absolute_baseline,7,0.002,0.543,13.13,mu_abs,0.0934,0.0236,0.0357,0.1512
absolute_DLN_moderator,7,0.0004,0.026,5.14,Intercept,0.0296,0.0327,-0.0544,0.1136
absolute_DLN_moderator,7,0.0004,0.026,5.14,stage[dot],0.0973,0.0383,-0.0012,0.1957
absolute_heterogeneity_reduction,7,0.0017,82.6,0.0,delta_tau2_abs,0.0017,0.0,0.0,0.0
signed_baseline,7,0.004,0.717,21.21,mu_signed,-0.0805,0.0294,-0.1523,-0.0086
signed_heterogeneity_reduction,7,0.0035,86.2,0.0,delta_tau2_signed,0.0035,0.0,0.0,0.0
egger_test,7,0.0,0.0,0.0,intercept,3.3837,2.5114,1.3473,0.2357
