model,k,tau2,I2,Q,parameter,estimate,se,ci_lo,ci_hi
baseline (intercept-only),10,0.035,0.808,46.89,mu,0.1624,0.0681,0.0083,0.3166
DLN-stage moderator,10,0.0105,0.585,16.88,Intercept,-0.1615,0.1084,-0.4179,0.0948
DLN-stage moderator,10,0.0105,0.585,16.88,mod[linear],0.3421,0.1266,0.0427,0.6415
DLN-stage moderator,10,0.0105,0.585,16.88,mod[network],0.4766,0.1321,0.1642,0.7889
heterogeneity_reduction,10,0.0245,69.9,0.0,delta_tau2,0.0245,0.0,0.0,0.0
