stage,k,mean_icc,sd_icc,k_ecc,mean_ecc,mean_gap,k_iec,mean_iec,within_tau2,within_I2
dot,33,0.33760606060606063,0.18941141389082447,24,0.2921666666666667,0.026541666666666658,22,0.2180454545454545,0.009461992220408782,0.2897175069511149
linear,97,0.2727216494845361,0.15676539944744672,86,0.39179069767441865,-0.12018604651162791,86,0.23851162790697675,0.013023938998787524,0.46965677371690867
linear_plus,43,0.2320232558139535,0.13032568879762677,37,0.19283783783783784,0.050432432432432436,35,0.19865714285714284,1.0523733518388418e-05,0.0
network,11,0.4737272727272728,0.12272252516069812,9,0.6562222222222222,-0.19455555555555556,9,0.5205555555555557,0.02296203288233051,0.9182032797826056
