model,k,tau2,I2,Q,pct_reduction,QM,QM_p,aicc,perm_p,loo_r2
baseline,306,0.124573,0.6,826.11,0.0,0.0,1.0,-128.47,,
DLN stage,306,0.112124,0.0,0.0,10.0,54.01,0.0,-136.03,0.0,0.0543
