model,k,tau2,I2,Q,parameter,estimate,se,ci_lo,ci_hi
baseline (intercept-only),8,0.1339,0.996,1813.27,mu,0.0366,0.1299,-0.2707,0.3438
DLN-stage moderator,8,0.0205,0.956,113.24,Intercept,-0.04,0.103,-0.3048,0.2248
DLN-stage moderator,8,0.0205,0.956,113.24,stage[linear],0.4774,0.1343,0.1321,0.8227
DLN-stage moderator,8,0.0205,0.956,113.24,stage[network],-0.271,0.1342,-0.6159,0.0739
heterogeneity_reduction,8,0.1134,84.7,0.0,delta_tau2,0.1134,0.0,0.0,0.0
egger_test,8,0.0,0.0,0.0,intercept,3.3924,18.4636,0.1837,0.8603
