comparison_id,study,experiment,emotion,strategy_code,control_code,strategy_family,gross_family,dln_stage,n_exp,n_ctrl,n_total,d_experiential,d_behavioral,d_physiological,d_composite,n_outcomes,se_d,vi
182,"McLaughlin,Borkovec,&Sibrava(2007)",1,negative_affect,C1,Cont3,concentration,attentional_deployment,dot,30.0,30.0,60.0,0.14,,,0.14,1,0.2585,0.06683
183,"McLaughlin,Borkovec,&Sibrava(2007)",2,negative_affect,C1,Cont3,concentration,attentional_deployment,dot,109.0,,109.0,-0.31,,,-0.31,1,0.1371,0.018789
184,"McLaughlin,Mennin,&Farach(2007)",1,sadness,D4,Cont3,distraction,attentional_deployment,linear,15.0,14.0,29.0,-0.13,,,-0.13,1,0.372,0.138387
185,"McLaughlin,Mennin,&Farach(2007)",1,sadness,D2,Cont3,distraction,attentional_deployment,linear,15.0,14.0,29.0,-0.06,,,-0.06,1,0.3717,0.138157
186,McRaeetal.(2010),1,negative_affect,D4,Cont4,distraction,attentional_deployment,linear,18.0,,18.0,0.9,,,0.9,1,0.3655,0.133611
187,McRaeetal.(2010),1,negative_affect,R2,Cont4,reappraisal,cognitive_change,network,18.0,,18.0,1.33,,,1.33,1,0.4003,0.160247
188,McRaeetal.(2008),1,negative_affect,R2,Cont1,reappraisal,cognitive_change,network,25.0,,25.0,1.44,,,1.44,1,0.3485,0.121472
189,Menchola(2008),1,negative_affect,R3,Cont1,reappraisal,cognitive_change,network,41.0,40.0,81.0,0.14,0.06,,0.1,2,0.2224,0.049452
190,Menchola(2008),1,negative_affect,S1,Cont1,suppression,response_modulation,linear,41.0,40.0,81.0,-0.72,0.03,,-0.345,2,0.2239,0.050125
191,Moberly&Watkins(2006),1,anxiety,C1,C2,concentration,attentional_deployment,dot,27.0,27.0,54.0,0.25,,,0.25,1,0.2732,0.074653
192,Morrison&O’Connor(2008),1,negative_affect,D4,C1,distraction,attentional_deployment,linear,20.0,20.0,40.0,0.41,,,0.41,1,0.3195,0.102101
193,Morrison&O’Connor(2008),1,positive_affect,D4,C1,distraction,attentional_deployment,linear,20.0,20.0,40.0,0.03,,,0.03,1,0.3162,0.100011
194,Morrow&Nolen-Hoeksema(1990),1,sadness,D4,C2,distraction,attentional_deployment,linear,17.0,17.0,34.0,1.32,,,1.32,1,0.3785,0.143271
195,Morrow&Nolen-Hoeksema(1990),1,sadness,D4,C1,distraction,attentional_deployment,linear,17.0,17.0,34.0,1.46,,,1.46,1,0.386,0.148994
196,Morrow&Nolen-Hoeksema(1990),1,sadness,C1,C2,concentration,attentional_deployment,dot,17.0,17.0,34.0,0.66,,,0.66,1,0.3522,0.124053
197,Mouldsetal.(2007),1,none,D4,C3,distraction,attentional_deployment,linear,27.0,29.0,56.0,0.59,,,0.59,1,0.2732,0.074628
198,Muravenetal.(1998),1,negative_affect,S4,Cont1,suppression,response_modulation,linear,20.0,20.0,40.0,0.0,,,0.0,1,0.3162,0.1
