comparison_id,study,experiment,emotion,strategy_code,control_code,strategy_family,gross_family,dln_stage,n_exp,n_ctrl,n_total,d_experiential,d_behavioral,d_physiological,d_composite,n_outcomes,se_d,vi
1,Arch&Craske(2006),1,negative_affect,D4,Cont1,distraction,attentional_deployment,linear,20.0,20.0,40.0,0.51,0.0,,0.255,2,0.3175,0.100813
2,Arch&Craske(2006),1,negative_affect,D4,Cont3,distraction,attentional_deployment,linear,20.0,20.0,40.0,0.73,0.0,,0.365,2,0.3188,0.101665
3,Ayduk&Kross(2008),1,anger,R3,C1,reappraisal,cognitive_change,network,39.0,42.0,81.0,0.74,0.66,,0.7,2,0.2291,0.052475
4,Ayduketal.(2002),1,negative_affect,R3,Cont1,reappraisal,cognitive_change,network,88.0,100.0,188.0,0.44,,,0.44,1,0.1479,0.021879
5,Ayduketal.(2002),1,negative_affect,C1,Cont1,concentration,attentional_deployment,dot,85.0,100.0,185.0,0.02,,,0.02,1,0.1475,0.021766
6,Banksetal.(2007),1,negative_affect,R2,Cont5,reappraisal,cognitive_change,network,14.0,,14.0,1.83,,,1.83,1,0.5123,0.262461
7,Bates(2007),1,negative_affect,S4,Cont1,suppression,response_modulation,linear,19.0,20.0,39.0,-0.16,,,-0.16,1,0.3209,0.10296
8,Bates(2007),1,negative_affect,D2,Cont1,distraction,attentional_deployment,linear,19.0,20.0,39.0,-0.2,,,-0.2,1,0.3212,0.103144
9,Bates(2007),1,negative_affect,C1,Cont1,concentration,attentional_deployment,dot,19.0,20.0,39.0,-0.31,,,-0.31,1,0.3223,0.103864
10,Baumeisteretal.(1998),3,mixed,S4,Cont5,suppression,response_modulation,linear,15.0,15.0,30.0,0.0,,,0.0,1,0.3651,0.133333
11,Beauregardetal.(2001),1,sexual_arousal,R3,Cont4,reappraisal,cognitive_change,network,10.0,,10.0,1.83,,,1.83,1,0.6062,0.367445
12,Beevers&Meyer(2008),1,negative_affect,S3,Cont1,suppression,response_modulation,linear,16.0,16.0,32.0,0.0,,,0.0,1,0.3536,0.125
13,Beevers&Scott(2001),1,mixed,S3,Cont1,suppression,response_modulation,linear,79.0,79.0,158.0,-0.34,,,-0.34,1,0.1603,0.025682
14,Blackhart&Kline(2005),1,sadness,D4,C1,distraction,attentional_deployment,linear,51.0,40.0,91.0,0.1,,,0.1,1,0.2113,0.044663
15,Blagden&Craske(1996),1,anxiety,D4,C3,distraction,attentional_deployment,linear,12.0,10.0,22.0,0.8,,,0.8,1,0.4448,0.197879
16,Bonannoetal.(2004),1,mixed,S1,Cont4,suppression,response_modulation,linear,101.0,,101.0,0.0,1.36,,0.68,2,0.1486,0.022091
17,Bonannoetal.(2004),1,mixed,S1,Cont3,suppression,response_modulation,linear,101.0,,101.0,0.0,2.59,,1.295,2,0.1676,0.028104
18,Borton(2002),2,negative_affect,S3,Cont1,suppression,response_modulation,linear,27.0,25.0,52.0,-0.3,,,-0.3,1,0.2791,0.077902
19,Borton(2002),2,negative_affect,D1,Cont1,distraction,attentional_deployment,linear,27.0,25.0,52.0,0.21,,,0.21,1,0.2783,0.077461
20,Borton(2002),2,negative_affect,C1,Cont1,concentration,attentional_deployment,dot,24.0,25.0,49.0,-0.35,,,-0.35,1,0.288,0.082917
21,Borton&Casey(2006),1,negative_affect,S3,Cont1,suppression,response_modulation,linear,25.0,23.0,48.0,-0.54,,,-0.54,1,0.2941,0.086516
22,Bortonetal.(2005),1,negative_affect,S3,Cont1,suppression,response_modulation,linear,30.0,31.0,61.0,-0.44,,,-0.44,1,0.2592,0.067178
23,Broderick(2005),1,sadness,D4,C2,distraction,attentional_deployment,linear,61.0,55.0,116.0,0.67,,,0.67,1,0.1911,0.03651
24,Broderick(2005),1,sadness,R1,D4,reappraisal,cognitive_change,network,61.0,61.0,122.0,0.29,,,0.29,1,0.182,0.033132
25,Broderick(2005),1,sadness,R1,C2,reappraisal,cognitive_change,network,61.0,55.0,116.0,0.92,,,0.92,1,0.1955,0.038224
26,Bucketal.(2009),1,anxiety,R2,Cont1,reappraisal,cognitive_change,network,31.0,30.0,61.0,0.21,,,0.21,1,0.2568,0.065953
27,Bucketal.(2009),1,anxiety,D3,Cont1,distraction,attentional_deployment,linear,29.0,30.0,59.0,0.04,,,0.04,1,0.2604,0.06783
28,Burns(2006),1,pain,S2,Cont1,suppression,response_modulation,dot,26.0,26.0,52.0,-0.19,-0.38,,-0.285,2,0.2788,0.077704
29,Burns(2006),1,pain,D3,Cont1,distraction,attentional_deployment,linear,26.0,26.0,52.0,-0.37,0.07,,-0.15,2,0.2777,0.077139
30,Burnsetal.(2008),1,disgust,S4,Cont1,suppression,response_modulation,linear,34.0,32.0,66.0,-0.12,,,-0.12,1,0.2465,0.060771
31,Burnsetal.(2007),1,anger,S2,Cont2,suppression,response_modulation,dot,31.0,32.0,63.0,-0.28,,,-0.28,1,0.2532,0.06413
32,Burnsetal.(2007),1,anger,S1,Cont2,suppression,response_modulation,linear,31.0,32.0,63.0,-0.1,,,-0.1,1,0.2522,0.063587
33,Burnsetal.(2007),1,anxiety,S2,Cont2,suppression,response_modulation,dot,31.0,32.0,63.0,-0.36,,,-0.36,1,0.254,0.064537
34,Burnsetal.(2007),1,anxiety,S1,Cont2,suppression,response_modulation,linear,31.0,32.0,63.0,-0.43,,,-0.43,1,0.2549,0.064976
35,Bushman(2002),1,anger,D4,Cont1,distraction,attentional_deployment,linear,100.0,100.0,200.0,-0.1,-0.17,,-0.135,2,0.1416,0.020046
36,Bushmanetal.(2005),1,anger,D4,C2,distraction,attentional_deployment,linear,14.0,14.0,28.0,1.05,,,1.05,1,0.4032,0.162545
37,Bushmanetal.(2005),1,anger,D2,C2,distraction,attentional_deployment,linear,14.0,14.0,28.0,1.18,,,1.18,1,0.4095,0.167721
38,Bushmanetal.(2005),1,anger,D2,D4,distraction,attentional_deployment,linear,14.0,14.0,28.0,-0.11,,,-0.11,1,0.3783,0.143073
39,Butleretal.(2003),1,negative_affect,R2,Cont1,reappraisal,cognitive_change,network,12.0,12.0,24.0,0.21,1.02,-0.16,0.3567,3,0.4115,0.169317
40,Butleretal.(2003),1,negative_affect,S1,Cont1,suppression,response_modulation,linear,12.0,12.0,24.0,0.32,1.0,0.09,0.47,3,0.4138,0.171269
41,Butleretal.(2007),2,negative_affect,S1,Cont1,suppression,response_modulation,linear,29.0,31.0,60.0,0.54,,,0.54,1,0.263,0.069171
42,Butleretal.(1995),1,negative_affect,C3,Cont1,concentration,attentional_deployment,dot,11.0,11.0,22.0,-1.18,,,-1.18,1,0.462,0.213464
43,Butleretal.(2006),1,negative_affect,S1,Cont1,suppression,response_modulation,linear,33.0,131.0,164.0,-0.03,1.25,-0.15,0.3567,3,0.1958,0.038324
44,Butleretal.(2006),1,negative_affect,R2,Cont1,reappraisal,cognitive_change,network,33.0,131.0,164.0,0.51,1.53,0.0,0.68,3,0.1984,0.039346
45,Ceschi&Scherer(2003),1,amusement,S1,Cont1,suppression,response_modulation,linear,32.0,32.0,64.0,0.85,,,0.85,1,0.261,0.068145
46,Chapmanetal.(2009),1,none,R1,S4,reappraisal,cognitive_change,network,39.0,,39.0,-0.47,,,-0.47,1,0.2326,0.054114
47,Coats(2008),1,sadness,R2,Cont1,reappraisal,cognitive_change,network,26.0,26.0,52.0,0.11,,,0.11,1,0.2776,0.077039
48,Coats(2008),1,sadness,S3,Cont1,suppression,response_modulation,linear,26.0,26.0,52.0,0.46,,,0.46,1,0.281,0.078958
49,Colbyetal.(1977),1,pain,S1,Cont4,suppression,response_modulation,linear,10.0,,10.0,0.11,,,0.11,1,0.4479,0.200605
50,Colbyetal.(1977),1,pain,S1,Cont3,suppression,response_modulation,linear,10.0,,10.0,0.46,,,0.46,1,0.4589,0.21058
51,Cooney(2007),1,none,D4,C2,distraction,attentional_deployment,linear,14.0,,14.0,0.17,,,0.17,1,0.3793,0.143889
52,Dalebrouxetal.(2008),1,sadness,D2,C1,distraction,attentional_deployment,linear,25.0,25.0,50.0,1.0,,,1.0,1,0.3,0.09
53,Dalebrouxetal.(2008),1,sadness,D4,C1,distraction,attentional_deployment,linear,25.0,25.0,50.0,0.19,,,0.19,1,0.2835,0.080361
54,Dalebrouxetal.(2008),1,sadness,D2,D4,distraction,attentional_deployment,linear,25.0,25.0,50.0,0.91,,,0.91,1,0.2971,0.088281
55,Dalgleish&Yiend(2006),1,negative_affect,S3,Cont1,suppression,response_modulation,linear,11.0,10.0,21.0,0.24,,,0.24,1,0.4385,0.192281
56,Dalgleishetal.(2009),1,negative_affect,S2,Cont4,suppression,response_modulation,dot,16.0,,16.0,0.29,,,0.29,1,0.3573,0.127628
57,Dalgleishetal.(2009),1,negative_affect,S2,Cont3,suppression,response_modulation,dot,16.0,,16.0,0.02,,,0.02,1,0.3536,0.125012
58,Davisetal.(2009),1,negative_affect,S1,Cont1,suppression,response_modulation,linear,23.0,35.0,58.0,0.57,0.5,,0.535,2,0.273,0.074517
59,Davisetal.(2009),1,negative_affect,D4,Cont1,distraction,attentional_deployment,linear,23.0,35.0,58.0,0.05,-0.55,,-0.25,2,0.2694,0.072588
60,Degen(2008),1,anxiety,R1,D4,reappraisal,cognitive_change,network,60.0,60.0,120.0,0.2,,,0.2,1,0.183,0.0335
61,Delgadoetal.(2008),1,anxiety,D2,Cont4,distraction,attentional_deployment,linear,12.0,,12.0,0.66,,,0.66,1,0.4299,0.184817
62,"Demaree,Robinson,etal.(2006)",1,amusement,S1,Cont3,suppression,response_modulation,linear,20.5,20.5,41.0,-0.34,1.62,-0.33,0.3167,3,0.3143,0.098784
63,"Demaree,Robinson,etal.(2006)",1,disgust,S1,Cont3,suppression,response_modulation,linear,20.5,20.5,41.0,-0.49,1.4,-0.13,0.26,3,0.3137,0.098385
64,"Demaree,Schmeichel,etal.(2006)",1,disgust,S1,Cont4,suppression,response_modulation,linear,20.0,15.0,35.0,-0.06,0.26,-0.17,0.01,3,0.3416,0.116668
65,"Demaree,Schmeichel,etal.(2006)",1,disgust,S1,Cont3,suppression,response_modulation,linear,20.0,17.0,37.0,0.38,1.95,-0.19,0.7133,3,0.3401,0.1157
66,Densonetal.(2009),1,anger,D4,C1,distraction,attentional_deployment,linear,16.0,16.0,32.0,0.01,,,0.01,1,0.3536,0.125002
67,Densonetal.(2009),1,anger,D4,C2,distraction,attentional_deployment,linear,16.0,16.0,32.0,0.39,,,0.39,1,0.3569,0.127377
68,Densonetal.(2009),1,anger,C1,C2,concentration,attentional_deployment,dot,16.0,16.0,32.0,0.36,,,0.36,1,0.3564,0.127025
69,Deveney&Pizzagalli(2008),1,negative_affect,R3,Cont3,reappraisal,cognitive_change,network,26.0,,26.0,0.15,,,0.15,1,0.2781,0.077356
70,Deveney&Pizzagalli(2008),1,negative_affect,R2,Cont3,reappraisal,cognitive_change,network,26.0,,26.0,0.09,,,0.09,1,0.2776,0.077079
71,Dillonetal.(2007),1,negative_affect,R3,Cont4,reappraisal,cognitive_change,network,37.0,,37.0,0.45,,,0.45,1,0.2383,0.056791
72,Dillonetal.(2007),2,negative_affect,S1,Cont4,suppression,response_modulation,linear,36.0,,36.0,-0.09,,,-0.09,1,0.2359,0.055668
73,Dillonetal.(2007),2,negative_affect,R3,Cont4,reappraisal,cognitive_change,network,36.0,,36.0,0.56,,,0.56,1,0.2448,0.059911
74,Dodrill(2005),1,negative_affect,C3,C1,concentration,attentional_deployment,dot,23.0,20.0,43.0,-0.15,0.02,,-0.065,2,0.3058,0.093527
75,Donaldson&Lam(2004),1,none,D4,C3,distraction,attentional_deployment,linear,18.0,18.0,36.0,0.53,,,0.53,1,0.3391,0.115012
76,Dunnetal.(2009),1,negative_affect,R1,Cont1,reappraisal,cognitive_change,network,30.0,30.0,60.0,-0.09,-0.02,,-0.055,2,0.2582,0.066692
77,"Ehring,Fuchs,&Klasener(2009)",1,negative_affect,D4,C2,distraction,attentional_deployment,linear,25.0,26.0,51.0,0.83,0.38,,0.605,2,0.2864,0.08205
78,"Ehring,Szeimies,&Schaffrick(2009)",1,negative_affect,D4,C2,distraction,attentional_deployment,linear,27.0,28.0,55.0,0.69,0.22,,0.455,2,0.2732,0.074633
79,Eippertetal.(2007),1,negative_affect,R3,Cont4,reappraisal,cognitive_change,network,24.0,,24.0,-0.3,,,-0.3,1,0.2919,0.085208
80,Erisman&Roemer(2010),1,negative_affect,R1,D4,reappraisal,cognitive_change,network,15.0,15.0,30.0,0.67,-0.32,,0.175,2,0.3658,0.133844
81,Farbetal.(2010),1,sadness,R1,Cont1,reappraisal,cognitive_change,network,20.0,16.0,36.0,0.0,,,0.0,1,0.3354,0.1125
82,Feldneretal.(2003),1,anxiety,R1,S4,reappraisal,cognitive_change,network,24.0,24.0,48.0,-0.03,-0.63,,-0.33,2,0.2906,0.084468
83,Feldneretal.(2006),1,anxiety,R1,S4,reappraisal,cognitive_change,network,40.0,40.0,80.0,-0.34,-0.11,,-0.225,2,0.2243,0.050316
84,Gerinetal.(2006),1,anger,D4,Cont1,distraction,attentional_deployment,linear,60.0,60.0,120.0,0.01,,,0.01,1,0.1826,0.033334
85,Giulianietal.(2008),1,amusement,R2,Cont4,reappraisal,cognitive_change,network,16.0,,16.0,1.83,0.79,0.27,0.9633,3,0.3924,0.154
86,Glynnetal.(2002),2,anxiety,D4,Cont1,distraction,attentional_deployment,linear,10.0,10.0,20.0,0.38,,,0.38,1,0.4512,0.20361
87,"Goldin,Manber-Ball,Hakimi,etal.(2009)",1,negative_affect,R4,Cont4,reappraisal,cognitive_change,network,17.0,,17.0,1.4,,,1.4,1,0.4187,0.175294
88,"Goldin,Manber-Ball,Werner,etal.(2009)",1,anxiety,R2,C2,reappraisal,cognitive_change,network,27.0,,27.0,1.15,,,1.15,1,0.314,0.098565
89,Goldinetal.(2008),1,disgust,R3,Cont1,reappraisal,cognitive_change,network,17.0,,17.0,1.24,0.6,,0.92,2,0.3775,0.142541
90,Goldinetal.(2008),1,disgust,S1,Cont1,suppression,response_modulation,linear,17.0,,17.0,1.03,0.7,,0.865,2,0.3737,0.139654
91,Golub(2003),1,anger,D4,C3,distraction,attentional_deployment,linear,50.0,50.0,100.0,0.04,,,0.04,1,0.2,0.040008
92,Gross(1998a),1,disgust,R3,Cont1,reappraisal,cognitive_change,network,40.0,40.0,80.0,0.51,0.88,0.17,0.52,3,0.2274,0.05169
93,Gross(1998a),1,disgust,S1,Cont1,suppression,response_modulation,linear,40.0,40.0,80.0,0.17,1.19,-0.49,0.29,3,0.2248,0.050526
94,Gross&Levenson(1993),3,disgust,S1,Cont1,suppression,response_modulation,linear,42.0,43.0,85.0,0.04,0.78,-0.37,0.15,3,0.2173,0.047198
95,Gross&Levenson(1997),1,sadness,S1,Cont1,suppression,response_modulation,linear,90.0,90.0,180.0,0.16,0.46,-0.2,0.14,3,0.1493,0.022277
96,Hagemannetal.(2006),1,negative_affect,S4,Cont1,suppression,response_modulation,linear,89.0,79.0,168.0,0.04,0.46,-0.12,0.1267,3,0.1547,0.023942
97,Hajcak&Nieuwenhuis(2006),1,negative_affect,R2,Cont1,reappraisal,cognitive_change,network,14.0,,14.0,0.21,,,0.21,1,0.38,0.144432
98,Harenskietal.(2009),2,negative_affect,R4,Cont4,reappraisal,cognitive_change,network,10.0,,10.0,1.24,,,1.24,1,0.5262,0.27688
99,Harris(2001),2,embarrassment,S1,Cont1,suppression,response_modulation,linear,18.0,18.0,36.0,-0.07,-0.09,-0.63,-0.2633,3,0.3348,0.112074
100,Harvey&Bryant(1998),1,amusement,S3,Cont1,suppression,response_modulation,linear,12.0,12.0,24.0,0.15,,,0.15,1,0.4088,0.167135
101,Harvey&Bryant(1998),1,negative_affect,S3,Cont1,suppression,response_modulation,linear,12.0,12.0,24.0,-0.19,,,-0.19,1,0.4092,0.167419
102,Harvey&Bryant(1999),1,negative_affect,S3,Cont1,suppression,response_modulation,linear,48.0,48.0,96.0,-0.48,,,-0.48,1,0.207,0.042867
103,Hatzenbuehleretal.(2009),2,negative_affect,D3,C2,distraction,attentional_deployment,linear,26.0,27.0,53.0,0.6,,,0.6,1,0.2809,0.078895
104,Henryetal.(2007),1,amusement,S1,Cont4,suppression,response_modulation,linear,30.0,,30.0,0.26,0.88,,0.57,2,0.2685,0.072082
105,Henryetal.(2007),1,amusement,S1,Cont3,suppression,response_modulation,linear,30.0,,30.0,-0.16,1.37,,0.605,2,0.2698,0.072767
106,"Henry,Green,etal.(2009)",1,amusement,S1,Cont3,suppression,response_modulation,linear,27.0,,27.0,0.38,1.87,,1.125,2,0.3123,0.097512
107,"Henry,Green,etal.(2009)",1,amusement,S1,Cont4,suppression,response_modulation,linear,27.0,,27.0,0.38,0.65,,0.515,2,0.281,0.078986
108,"Henry,Rendell,etal.(2009)",1,amusement,S1,Cont4,suppression,response_modulation,linear,20.0,,20.0,0.5,1.48,,0.99,2,0.3528,0.124502
109,"Henry,Rendell,etal.(2009)",1,amusement,S1,Cont3,suppression,response_modulation,linear,20.0,,20.0,0.46,1.85,,1.155,2,0.3652,0.133351
110,Hofmannetal.(2009),1,anxiety,R2,Cont4,reappraisal,cognitive_change,network,68.0,67.0,135.0,0.47,0.33,,0.4,2,0.1739,0.030224
111,Hofmannetal.(2009),1,anxiety,S1,Cont4,suppression,response_modulation,linear,68.0,67.0,135.0,-0.03,-0.08,,-0.055,2,0.1722,0.029642
112,Hofmannetal.(2007),1,mixed,S2,Cont4,suppression,response_modulation,dot,26.0,24.0,50.0,0.37,,,0.37,1,0.2855,0.081497
113,Hood(2003),1,disgust,S1,Cont1,suppression,response_modulation,linear,25.0,25.0,50.0,0.01,,,0.01,1,0.2828,0.080001
114,Hood(2003),1,disgust,S3,Cont1,suppression,response_modulation,linear,25.0,25.0,50.0,0.05,,,0.05,1,0.2829,0.080025
115,Hood(2003),1,disgust,R3,Cont1,reappraisal,cognitive_change,network,25.0,25.0,50.0,0.28,,,0.28,1,0.2842,0.080784
116,Hulseetal.(2007),1,negative_affect,D4,Cont1,distraction,attentional_deployment,linear,32.0,32.0,64.0,0.06,,,0.06,1,0.2501,0.062528
117,Hunt(1998),1,negative_affect,R2,C3,reappraisal,cognitive_change,network,34.0,36.0,70.0,-0.2,,,-0.2,1,0.2397,0.057475
118,Hunt(1998),1,negative_affect,D2,C3,distraction,attentional_deployment,linear,34.0,33.0,67.0,-0.12,,,-0.12,1,0.2446,0.059822
119,Hunt(1998),1,negative_affect,R2,D2,reappraisal,cognitive_change,network,33.0,36.0,69.0,-0.08,,,-0.08,1,0.2411,0.058127
120,Janeck&Calamari(1999),1,negative_affect,S3,Cont1,suppression,response_modulation,linear,16.0,16.0,32.0,0.13,,,0.13,1,0.3539,0.125264
121,Jimenez(2009),2,none,R1,Cont1,reappraisal,cognitive_change,network,61.0,59.0,120.0,0.16,,,0.16,1,0.1829,0.033449
122,Johnsetal.(2008),3,anxiety,R1,Cont1,reappraisal,cognitive_change,network,19.0,19.0,38.0,0.4,,,0.4,1,0.3277,0.107368
123,Joorman&Siemer(2004),1,negative_affect,D3,C3,distraction,attentional_deployment,linear,31.0,29.0,60.0,0.45,,,0.45,1,0.2616,0.068428
124,Joormannetal.(2007),1,sadness,D2,D4,distraction,attentional_deployment,linear,29.0,36.0,65.0,-0.04,,,-0.04,1,0.2495,0.062273
125,Kalischetal.(2005),1,anxiety,D1,C1,distraction,attentional_deployment,linear,18.0,,18.0,1.72,0.57,,1.145,2,0.3841,0.147528
126,Kalischetal.(2006),1,anxiety,D3,Cont2,distraction,attentional_deployment,linear,15.0,,15.0,0.67,0.0,,0.335,2,0.3702,0.137074
127,Kaoetal.(2006),1,none,D4,C3,distraction,attentional_deployment,linear,15.0,15.0,30.0,0.95,,,0.95,1,0.3852,0.148375
128,Katz&Bertelson(1993),1,sadness,D4,C1,distraction,attentional_deployment,linear,32.0,32.0,64.0,1.79,,,1.79,1,0.2959,0.087532
129,Kavanaghetal.(2001),1,negative_affect,D4,Cont1,distraction,attentional_deployment,linear,18.0,,18.0,0.81,,,0.81,1,0.3596,0.129336
130,Kim&Hamann(2007),1,negative_affect,R4,Cont4,reappraisal,cognitive_change,network,10.0,,10.0,1.83,,,1.83,1,0.6062,0.367445
131,Kingstonetal.(2007),1,pain,R1,D4,reappraisal,cognitive_change,network,21.0,21.0,42.0,0.15,,,0.15,1,0.309,0.095506
132,Koenigsbergetal.(2009),1,negative_affect,R3,Cont3,reappraisal,cognitive_change,network,16.0,,16.0,1.74,,,1.74,1,0.4686,0.219613
133,Kosteretal.(2003),1,anxiety,S3,Cont1,suppression,response_modulation,linear,17.0,17.0,34.0,0.0,,,0.0,1,0.343,0.117647
134,Kross&Ayduk(2008),1,sadness,R3,C1,reappraisal,cognitive_change,network,48.0,48.0,96.0,0.46,,,0.46,1,0.2068,0.042769
135,Kross&Ayduk(2008),1,sadness,R3,D4,reappraisal,cognitive_change,network,48.0,45.0,93.0,-0.15,,,-0.15,1,0.2078,0.043177
136,Kross&Ayduk(2008),1,sadness,D4,C1,distraction,attentional_deployment,linear,45.0,48.0,93.0,0.61,,,0.61,1,0.2123,0.045056
137,Krossetal.(2005),1,anger,C1,C2,concentration,attentional_deployment,dot,38.0,39.0,77.0,0.2,,,0.2,1,0.2285,0.052217
138,Krossetal.(2009),1,negative_affect,R1,C1,reappraisal,cognitive_change,network,24.0,,24.0,0.4,,,0.4,1,0.2944,0.086667
139,Krossetal.(2009),1,negative_affect,R1,C2,reappraisal,cognitive_change,network,24.0,,24.0,1.27,,,1.27,1,0.342,0.116935
140,Krossetal.(2009),1,negative_affect,C1,C2,concentration,attentional_deployment,dot,24.0,,24.0,-0.82,,,-0.82,1,0.312,0.097342
141,Kuehneretal.(2007),1,sadness,D3,C3,distraction,attentional_deployment,linear,21.0,21.0,42.0,1.22,,,1.22,1,0.3361,0.112957
142,Kuehneretal.(2009),1,sadness,R1,D3,reappraisal,cognitive_change,network,20.0,20.0,40.0,-0.43,-0.45,,-0.44,2,0.32,0.10242
