sample_id,citation,expt,sample,n,n_crit,topic,icc,n_iat,iat_type,ecc,n_expl,expl_type,iec
62,Heider & Skowronski (2007),2,2,55,4,Race (Bl/Wh),0.272,1,Attitude,0.038,2,Attitude,0.284
63,Hofmann & Friese (2008),1,1,29,1,Consumer,0.190,1,Attitude,0.470,1,Self,0.020
64,Hofmann & Friese (2008),1,2,29,1,Consumer,0.400,1,Attitude,0.250,1,Self,0.260
65,Hofmann et al. (2007),1,1,26,1,Consumer,0.340,1,Attitude,0.290,1,Self,0.290
66,Hofmann et al. (2007),1,2,24,2,Consumer,0.090,1,Attitude,0.480,1,Self,0.480
67,Hofmann et al. (2008),1,1,85,2,Race (Bl/Wh),0.118,1,Attitude,0.154,1,Attitude,0.341
68,Hofmann et al. (2008),2,2,76,2,Race (Bl/Wh),0.192,1,Attitude,0.002,1,Attitude,0.001
69,Houben & Wiers (2006a),1,1,96,2,Drugs/tobacco,0.153,3,Multiple,0.301,7,Multiple,0.107
70,Houben & Wiers (2006b),1,1,46,2,Drugs/tobacco,0.386,1,Attitude,0.110,2,Attitude,0.346
71,Houben & Wiers (2007a),1,1,42,2,Drugs/tobacco,0.410,1,Attitude,0.126,4,Attitude,0.330
72,Houben & Wiers (2007b),1,1,46,2,Drugs/tobacco,0.289,2,Attitude,0.348,3,Attitude,0.145
73,Houben & Wiers (2008),1,1,62,1,Drugs/tobacco,0.175,4,Attitude,0.341,2,Attitude,0.086
74,Hugenberg & Bodenhausen (2003),1,1,24,1,Race (Bl/Wh),0.460,1,Attitude,0.054,1,Attitude,0.360
75,Hugenberg & Bodenhausen (2003),2,2,24,1,Race (Bl/Wh),0.424,1,Attitude,0.187,1,Attitude,0.129
76,Hugenberg & Bodenhausen (2004),1,1,20,1,Race (Bl/Wh),0.345,1,Attitude,0.032,1,Attitude,0.068
77,Hugenberg & Bodenhausen (2004),2,2,57,1,Race (Bl/Wh),0.163,1,Attitude,0.030,1,Attitude,0.230
78,Huijding et al. (2005),1,1,48,1,Drugs/tobacco,0.450,1,Attitude,0.692,1,Attitude,0.221
79,Jajodia & Earleywine (2003),1,1,103,3,Drugs/tobacco,0.307,1,Belief,0.387,1,Belief,0.132
80,Jellison et al. (2004),1,1,39,4,Gender/sex,0.258,1,Attitude,0.271,1,Attitude,0.510
